pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,total_amount
2019-06-15,Saturday,21,2019-06-15,Saturday,21,3,0.8,1,Lenox Hill West,Lenox Hill East,8.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.26,1,Gramercy,Flatiron,13.53
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,3.05,1,East Harlem South,Manhattanville,12.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.28,1,Gramercy,Murray Hill,13.5
2019-06-15,Saturday,21,2019-06-15,Saturday,21,0,3.8,1,Union Sq,East Harlem South,20.0
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,2.5,1,Upper East Side South,Penn Station/Madison Sq West,19.55
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,5.79,1,Morningside Heights,Inwood,26.0
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,0.8,1,Midtown Center,Midtown North,11.75
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,2.8,1,Murray Hill,Lincoln Square West,18.3
2019-06-15,Saturday,21,2019-06-15,Saturday,21,5,1.46,1,Lenox Hill West,Central Park,13.56
2019-06-15,Saturday,21,2019-06-15,Saturday,22,3,4.3,1,Midtown North,Old Astoria,19.3
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,4.33,1,Williamsburg (North Side),Brooklyn Heights,21.36
2019-06-15,Saturday,21,2019-06-15,Saturday,21,5,1.42,1,Times Sq/Theatre District,Lincoln Square East,12.96
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,1.1,1,Garment District,East Chelsea,14.15
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,1.62,1,Financial District North,Lower East Side,12.3
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.29,1,Greenwich Village North,Alphabet City,14.76
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.0,1,Morningside Heights,NV,31.0
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.71,1,Upper East Side South,Upper East Side North,10.38
2019-06-15,Saturday,21,2019-06-15,Saturday,21,6,0.66,1,Upper West Side South,Upper West Side North,8.8
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,5.45,1,West Village,East Harlem South,27.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,4,2.2,1,Lincoln Square East,Murray Hill,17.15
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,0.0,5,NV,NV,74.16
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.89,1,Yorkville West,Upper West Side North,14.0
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,2.16,1,Greenwich Village North,Midtown Center,13.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,2.01,1,Upper West Side North,Clinton West,15.96
2019-06-15,Saturday,21,2019-06-15,Saturday,21,3,1.79,1,Murray Hill,East Village,15.3
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,2.62,1,Upper West Side North,Hamilton Heights,18.96
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.1,1,Midtown North,Midtown Center,11.76
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.9,1,Midtown South,Union Sq,12.85
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.5,1,Upper West Side North,Upper West Side South,9.96
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,10.7,1,JFK Airport,Bushwick South,34.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.78,1,Lincoln Square East,Upper West Side South,10.56
2019-06-15,Saturday,21,2019-06-15,Saturday,21,3,0.67,1,East Village,Alphabet City,10.3
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.2,1,Midtown South,Flatiron,14.75
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,2.04,1,Manhattan Valley,Yorkville West,12.8
2019-06-15,Saturday,21,2019-06-15,Saturday,22,2,1.12,1,Upper West Side North,Bloomingdale,9.3
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,1.4,1,Central Harlem,Upper West Side North,10.23
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,1.5,1,Kips Bay,East Village,13.53
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.9,1,Upper East Side North,Upper West Side South,10.3
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.5,1,Kips Bay,UN/Turtle Bay South,13.5
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,1.63,1,Flatiron,Midtown South,17.3
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,5.17,1,East Chelsea,Financial District North,23.3
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.0,1,Lenox Hill West,Midtown Center,10.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.82,1,Union Sq,East Chelsea,9.3
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.6,1,Upper West Side South,Clinton East,16.3
2019-06-15,Saturday,21,2019-06-15,Saturday,21,3,0.93,1,Midtown North,Lincoln Square West,11.16
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,17.2,2,JFK Airport,Kips Bay,73.67
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,3.68,1,Greenwich Village North,Lenox Hill East,24.75
